Регион,Климатический район,Климатические подрайоны,"Среднемесячная температура  воздуха в январе, oС","Средняя скорость ветра за три зимних месяца, м/с","Среднемесячная температура  воздуха в июле, oС","Среднемесячная относительная влажность воздуха в июле, %"
Красноярский край (Игарка),I,IА,От -32 и ниже,-,От +4 до +19,-
Красноярский край (Агата),I,IА,От -32 и ниже,-,От +4 до +19,-
Красноярский край (Игарка),I,IА,От -32 и ниже,-,От +4 до +19,-
Красноярский край (Ессей),I,IА,От -32 и ниже,-,От +4 до +19,-
Красноярский край (Хатанга),I,IА,От -32 и ниже,-,От +4 до +19,-
Красноярский край (Игарка),I,IА,От -32 и ниже,-,От +4 до +19,-
Красноярский край (Оленёк),I,IА,От -32 и ниже,-,От +4 до +19,-
Красноярский край (Тура),I,IА,От -32 и ниже,-,От +4 до +19,-
Красноярский край (Байкит),I,IА,От -32 и ниже,-,От +4 до +19,-
Красноярский край (Норильск),I,IА,От -32 и ниже,-,От +4 до +19,-
Республика Саха (Якутия) (Жиганск),I,IА,От -32 и ниже,-,От +4 до +19,-
Республика Саха (Якутия) (Верхоянск),I,IА,От -32 и ниже,-,От +4 до +19,-
Республика Саха (Якутия) (Верхоянск),I,IА,От -32 и ниже,-,От +4 до +19,-
Республика Саха (Якутия) (Дружина),I,IА,От -32 и ниже,-,От +4 до +19,-
Республика Саха (Якутия) (Среднеколымск),I,IА,От -32 и ниже,-,От +4 до +19,-
Республика Саха (Якутия) (Вилюйск),I,IА,От -32 и ниже,-,От +4 до +19,-
Республика Саха (Якутия) (Якутск),I,IА,От -32 и ниже,-,От +4 до +19,-
Республика Саха (Якутия) (Мирный),I,IА,От -32 и ниже,-,От +4 до +19,-
Республика Саха (Якутия) (Мирный),I,IА,От -32 и ниже,-,От +4 до +19,-
Республика Саха (Якутия) (Благовещенск),I,IА,От -32 и ниже,-,От +4 до +19,-
Еврейская автономная область,I,IА,От -32 и ниже,-,От +4 до +19,-
Чукотский автономный округ ,I,IА,От -32 и ниже,-,От +4 до +19,-
Красноярский край (Норильск),I,IБ,От -28 и ниже,5 и более,От 0 до +13,Более 75
Красноярский край (Дудинка),I,IБ,От -28 и ниже,5 и более,От 0 до +13,Более 75
Красноярский край (Диксон),I,IБ,От -28 и ниже,5 и более,От 0 до +13,Более 75
Омская область,I,IВ,От -14 до -28,-,От +12 до +21,-
Челябинская область,I,IВ,От -14 до -28,-,От +12 до +21,-
Томская область,I,IВ,От -14 до -28,-,От +12 до +21,-
Тюменская область,I,IВ,От -14 до -28,-,От +12 до +21,-
Республика Казахстан  (Петропавловск),I,IВ,От -14 до -28,-,От +12 до +21,-
Республика Казахстан (Кустанай),I,IВ,От -14 до -28,-,От +12 до +21,-
Республика Казахстан  (Астана),I,IВ,От -14 до -28,-,От +12 до +21,-
Республика Казахстан  (Караганда),I,IВ,От -14 до -28,-,От +12 до +21,-
Свердловская область,I,IВ,От -14 до -28,-,От +12 до +21,-
Ханты-Мансийский автономный округ,I,IВ,От -14 до -28,-,От +12 до +21,-
Республика Коми  (кроме города Воркута),I,IВ,От -14 до -28,-,От +12 до +21,-
Республика Карелия,I,IВ,От -14 до -28,-,От +12 до +21,-
Чита,I,IВ,От -14 до -28,-,От +12 до +21,-
Хабаровский край,I,IВ,От -14 до -28,-,От +12 до +21,-
Приморский край (Владивосток),I,IВ,От -14 до -28,-,От +12 до +21,-
Приморский край (Уссурийск),I,IВ,От -14 до -28,-,От +12 до +21,-
Приморский край (Артём),I,IВ,От -14 до -28,-,От +12 до +21,-
Приморский край (Находка),I,IВ,От -14 до -28,-,От +12 до +21,-
Приморский край (Преображение),I,IВ,От -14 до -28,-,От +12 до +21,-
Курганская область,I,IВ,От -14 до -28,-,От +12 до +21,-
Кировская область,I,IВ,От -14 до -28,-,От +12 до +21,-
Ненецкий автономный округ,I,IГ,От -14 до -28,5 и более,От 0 до +14,Более 75
Воркута,I,IГ,От -14 до -28,5 и более,От 0 до +14,Более 75
Ямало-Ненецкий автономный округ,I,IГ,От -14 до -28,5 и более,От 0 до +14,Более 75
Республика Саха (Якутия) (Охотск),I,IГ,От -14 до -28,5 и более,От 0 до +14,Более 75
Чукотский автономный округ,I,IГ,От -14 до -28,5 и более,От 0 до +14,Более 75
Магаданская область,I,IГ,От -14 до -28,5 и более,От 0 до +14,Более 75
Камчатский край,I,IГ,От -14 до -28,5 и более,От 0 до +14,Более 75
Новосибирская область,I,IД,От -14 до -32,-,От +10 до +20,-
Новосибирская область,I,IД,От -14 до -32,-,От +10 до +20,-
Республика Хакасия,I,IД,От -14 до -32,-,От +10 до +20,-
Иркутская область,I,IД,От -14 до -32,-,От +10 до +20,-
Республика Бурятия,I,IД,От -14 до -32,-,От +10 до +20,-
Республика Саха (Якутия) (Алдан),I,IД,От -14 до -32,-,От +10 до +20,-
Красноярский край (Енисейск),I,IД,От -14 до -32,-,От +10 до +20,-
Красноярский край (Надым),I,IД,От -14 до -32,-,От +10 до +20,-
Красноярский край (Ярцево),I,IД,От -14 до -32,-,От +10 до +20,-
Красноярский край (Верхнеимбатск),I,IД,От -14 до -32,-,От +10 до +20,-
Республика Тыва,I,IД,От -14 до -32,-,От +10 до +20,-
Республика Алтай,I,IД,От -14 до -32,-,От +10 до +20,-
Амурская область,I,IД,От -14 до -32,-,От +10 до +20,-
Кемеровская область ,I,IД,От -14 до -32,-,От +10 до +20,-
Забайкальский край,I,IД,От -14 до -32,-,От +10 до +20,-
Мурманская область,II,IIА,От -4 до -14,5 и более,От +8 до +12,Более 75
Архангельская область,II,IIА,От -4 до -14,5 и более,От +8 до +12,Более 75
Москва,II,IIВ,От -4 до -14,-,От +12 до +21,-
Московская область,II,IIВ,От -4 до -14,-,От +12 до +21,-
Орловская область,II,IIВ,От -4 до -14,-,От +12 до +21,-
Ярославская область,II,IIВ,От -4 до -14,-,От +12 до +21,-
Калужская область,II,IIВ,От -4 до -14,-,От +12 до +21,-
Нижегородская область,II,IIВ,От -4 до -14,-,От +12 до +21,-
Новгородская область,II,IIВ,От -4 до -14,-,От +12 до +21,-
Санкт-петербург,II,IIВ,От -4 до -14,-,От +12 до +21,-
Ленинградская область,II,IIВ,От -4 до -14,-,От +12 до +21,-
Воронежская область,II,IIВ,От -4 до -14,-,От +12 до +21,-
Вологодская область,II,IIВ,От -4 до -14,-,От +12 до +21,-
Псковская область,II,IIВ,От -4 до -14,-,От +12 до +21,-
Тверская область,II,IIВ,От -4 до -14,-,От +12 до +21,-
Тамбовская область,II,IIВ,От -4 до -14,-,От +12 до +21,-
Костромская область,II,IIВ,От -4 до -14,-,От +12 до +21,-
Владимирская область,II,IIВ,От -4 до -14,-,От +12 до +21,-
Ивановская область,II,IIВ,От -4 до -14,-,От +12 до +21,-
Курская область,II,IIВ,От -4 до -14,-,От +12 до +21,-
Липецкая область,II,IIВ,От -4 до -14,-,От +12 до +21,-
Белгородская область,II,IIВ,От -4 до -14,-,От +12 до +21,-
Брянская область,II,IIВ,От -4 до -14,-,От +12 до +21,-
Смоленская область,II,IIВ,От -4 до -14,-,От +12 до +21,-
Тульская область,II,IIВ,От -4 до -14,-,От +12 до +21,-
Республика Башкортостан,II,IIВ,От -4 до -14,-,От +12 до +21,-
Удмуртская Республика,II,IIВ,От -4 до -14,-,От +12 до +21,-
Пермский край,II,IIВ,От -4 до -14,-,От +12 до +21,-
Рязанская область,II,IIВ,От -4 до -14,-,От +12 до +21,-
Республика Татарстан,II,IIВ,От -4 до -14,-,От +12 до +21,-
Республика Дагестан,II,IIВ,От -4 до -14,-,От +12 до +21,-
Ульяновская область,II,IIВ,От -4 до -14,-,От +12 до +21,-
Республика Марий Эл,II,IIВ,От -4 до -14,-,От +12 до +21,-
Чувашская республика,II,IIВ,От -4 до -14,-,От +12 до +21,-
Республика Мордовия,II,IIВ,От -4 до -14,-,От +12 до +21,-
Пензенская область,II,IIВ,От -4 до -14,-,От +12 до +21,-
Калининградская область,II,IIВ,От -4 до -14,-,От +12 до +21,-
Приморский край (Дальнегорск),II,IIГ,От -5 до -14,5 и более,От +12 до +21,Более 75
Приморский край (Пластун),II,IIГ,От -5 до -14,5 и более,От +12 до +21,Более 75
Приморский край (Терней),II,IIГ,От -5 до -14,5 и более,От +12 до +21,Более 75
Приморский край (Светлая),II,IIГ,От -5 до -14,5 и более,От +12 до +21,Более 75
Сахалинская область (Южно-Сахалинск),II,IIГ,От -5 до -14,5 и более,От +12 до +21,Более 75
Сахалинская область (Углегорск),II,IIГ,От -5 до -14,5 и более,От +12 до +21,Более 75
Сахалинская область (Макаров),II,IIГ,От -5 до -14,5 и более,От +12 до +21,Более 75
